country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB","03-06-2026 23:00:00",26.80365,84.51954,NO2,NA,NA,NA
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB","03-06-2026 23:00:00",25.251013,86.989001,CO,18,54,41
India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB","03-06-2026 23:00:00",25.567520,83.966379,SO2,29,36,31
India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB","03-06-2026 23:00:00",25.567520,83.966379,CO,22,26,25
India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB","03-06-2026 23:00:00",25.567520,83.966379,OZONE,22,171,86
India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB","03-06-2026 23:00:00",25.7808257,84.7446768,PM2.5,85,85,85
India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB","03-06-2026 23:00:00",25.7808257,84.7446768,NH3,3,4,3
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB","03-06-2026 23:00:00",24.792403,84.992416,PM10,80,266,120
India,Delhi,Delhi,"Commonwealth Sports Complex, Delhi - DPCC","03-06-2026 23:00:00","28.615828 ","77.271992 ",CO,24,60,40
India,Delhi,Delhi,"DTU, Delhi - CPCB","03-06-2026 23:00:00",28.7500499,77.1112615,NO2,7,8,8
India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC","03-06-2026 23:00:00",28.498571,77.264840,NH3,5,7,6
India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC","03-06-2026 23:00:00",28.498571,77.264840,CO,26,54,38
India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC","03-06-2026 23:00:00",28.498571,77.264840,OZONE,16,142,87
India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ","03-06-2026 23:00:00",28.5710274,77.0719006,OZONE,20,97,70
India,Delhi,Delhi,"IGI Airport (T3), Delhi - IITM","03-06-2026 23:00:00",28.5627763,77.1180053,PM2.5,29,145,88
India,Delhi,Delhi,"IGI Airport (T3), Delhi - IITM","03-06-2026 23:00:00",28.5627763,77.1180053,PM10,96,193,138
India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB","03-06-2026 23:00:00",28.6811736,77.3025234,PM10,67,134,106
India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB","03-06-2026 23:00:00",28.6811736,77.3025234,OZONE,20,105,62
India,Delhi,Delhi,"ITO, Delhi - CPCB","03-06-2026 23:00:00",28.628624,77.241060,NH3,3,6,4
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB","03-06-2026 23:00:00",16.5150833,80.5181667,CO,18,119,23
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB","03-06-2026 23:00:00",14.675886,77.593027,PM10,35,422,88
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB","03-06-2026 23:00:00",14.675886,77.593027,SO2,12,17,14
